-4.9167e+00     1.8617e+01  6.2062e-02  3.0971e-01  7.9292e-03  1.4324e-01 -2.4314e+01 -8.4062e-02 -3.3627e-01 -2.0008e-02 -1.5261e-01  1.8900e+00  6.6363e-03  2.9729e-02  6.0442e-04  1.1165e-02 -2.0171e+00 -6.0603e-03 -2.5476e-02 -1.4881e-03 -1.0636e-02
-4.9083e+00     2.3219e+01  7.6044e-02  4.4652e-01  1.0729e-02  1.4643e-01 -2.5777e+01 -9.2577e-02 -3.5793e-01 -2.1144e-02 -1.7727e-01  2.0640e+00  7.2108e-03  3.2875e-02  6.8203e-04  1.2370e-02 -2.2254e+00 -6.7950e-03 -2.8363e-02 -1.6593e-03 -1.2008e-02
-4.9000e+00     2.6486e+01  9.4046e-02  5.1879e-01  1.1701e-02  1.3763e-01 -2.4907e+01 -9.4741e-02 -3.4766e-01 -2.1111e-02 -1.9422e-01  2.2708e+00  7.9183e-03  3.6891e-02  7.7534e-04  1.3552e-02 -2.4363e+00 -7.5742e-03 -3.1298e-02 -1.8350e-03 -1.3553e-02
-4.8917e+00     2.2462e+01  8.3039e-02  4.5352e-01  1.0996e-02  1.1945e-01 -2.1132e+01 -8.2149e-02 -3.2008e-01 -1.7737e-02 -1.8229e-01  2.4744e+00  8.6550e-03  4.0935e-02  8.6975e-04  1.4621e-02 -2.6278e+00 -8.3100e-03 -3.4076e-02 -1.9966e-03 -1.5119e-02
-4.8833e+00     2.0205e+01  7.4186e-02  4.2730e-01  1.0856e-02  1.1657e-01 -2.0332e+01 -7.6515e-02 -3.2063e-01 -1.8066e-02 -1.9059e-01  2.6519e+00  9.3090e-03  4.4599e-02  9.6065e-04  1.5603e-02 -2.8003e+00 -8.9700e-03 -3.6741e-02 -2.1456e-03 -1.6670e-02
-4.8750e+00     1.9122e+01  6.7546e-02  4.0035e-01  1.0262e-02  1.2582e-01 -2.1212e+01 -7.1011e-02 -3.3782e-01 -2.0055e-02 -2.3910e-01  2.8154e+00  9.8986e-03  4.8042e-02  1.0485e-03  1.6611e-02 -2.9731e+00 -9.5837e-03 -3.9480e-02 -2.3041e-03 -1.8458e-02
-4.8667e+00     2.3202e+01  7.9610e-02  4.5646e-01  1.1099e-02  1.9844e-01 -2.2035e+01 -6.8548e-02 -3.3774e-01 -2.2388e-02 -3.0172e-01  2.9915e+00  1.0511e-02  5.1606e-02  1.1373e-03  1.7960e-02 -3.1530e+00 -1.0164e-02 -4.2290e-02 -2.4807e-03 -2.0707e-02
-4.8583e+00     2.8181e+01  9.7823e-02  5.0002e-01  1.4484e-02  3.0770e-01 -2.2503e+01 -6.8022e-02 -3.2302e-01 -2.3634e-02 -3.8825e-01  3.2052e+00  1.1249e-02  5.5585e-02  1.2438e-03  2.0065e-02 -3.3382e+00 -1.0732e-02 -4.5039e-02 -2.6721e-03 -2.3578e-02
-4.8500e+00     3.0725e+01  1.1543e-01  5.4403e-01  1.3761e-02  3.7048e-01 -2.5611e+01 -7.8886e-02 -3.2929e-01 -2.5657e-02 -6.0824e-01  3.4503e+00  1.2136e-02  5.9928e-02  1.3613e-03  2.2886e-02 -3.5384e+00 -1.1343e-02 -4.7752e-02 -2.8772e-03 -2.7723e-02
-4.8417e+00     3.1425e+01  1.0566e-01  5.5210e-01  1.2593e-02  4.6390e-01 -3.2414e+01 -8.3721e-02 -3.7260e-01 -2.9277e-02 -1.0940e+00  3.7088e+00  1.3056e-02  6.4487e-02  1.4709e-03  2.6357e-02 -3.7797e+00 -1.2020e-02 -5.0672e-02 -3.1057e-03 -3.4803e-02
-4.8333e+00     2.1744e+01  6.5738e-02  3.6959e-01  8.7690e-03  3.9978e-01 -1.8685e+01 -5.2856e-02 -2.1553e-01 -2.1187e-02 -6.0667e-01  3.9300e+00  1.3769e-02  6.8321e-02  1.5597e-03  2.9950e-02 -3.9923e+00 -1.2588e-02 -5.3119e-02 -3.3156e-03 -4.1878e-02
-4.8250e+00     1.7459e+01  5.1841e-02  2.4857e-01  7.1491e-03  3.2439e-01 -1.8249e+01 -4.9824e-02 -2.0227e-01 -2.3121e-02 -7.0062e-01  4.0930e+00  1.4258e-02  7.0893e-02  1.6260e-03  3.2962e-02 -4.1459e+00 -1.3015e-02 -5.4857e-02 -3.4999e-03 -4.7316e-02
-4.8167e+00     2.3533e+01  6.6126e-02  3.2961e-01  8.8293e-03  6.5707e-01 -2.3809e+01 -6.0811e-02 -2.7191e-01 -3.1773e-02 -1.0590e+00  4.2636e+00  1.4748e-02  7.3298e-02  1.6924e-03  3.7045e-02 -4.3209e+00 -1.3475e-02 -5.6829e-02 -3.7282e-03 -5.4636e-02
-4.8083e+00     4.0530e+01  1.0998e-01  6.6916e-01  1.5858e-02  1.3692e+00 -3.8228e+01 -9.4706e-02 -5.3794e-01 -5.3321e-02 -1.7275e+00  4.5300e+00  1.5481e-02  7.7452e-02  1.7951e-03  4.5474e-02 -4.5789e+00 -1.4122e-02 -6.0198e-02 -4.0822e-03 -6.6227e-02
-4.8000e+00     3.2000e+01  8.7061e-02  4.9242e-01  1.2495e-02  1.3381e+00 -2.2757e+01 -5.5512e-02 -3.2079e-01 -3.1190e-02 -1.2437e+00  4.8317e+00  1.6301e-02  8.2284e-02  1.9131e-03  5.6735e-02 -4.8326e+00 -1.4747e-02 -6.3770e-02 -4.4338e-03 -7.8586e-02
-4.7917e+00     1.6259e+01  5.1140e-02  1.9102e-01  8.5833e-03  7.1185e-01 -1.7828e+01 -4.3548e-02 -2.2786e-01 -3.3947e-02 -9.0492e-01  5.0325e+00  1.6875e-02  8.5127e-02  2.0007e-03  6.5262e-02 -5.0014e+00 -1.5159e-02 -6.6052e-02 -4.7047e-03 -8.7524e-02
-4.7833e+00     3.3791e+01  8.9210e-02  5.8240e-01  1.8750e-02  1.6855e+00 -2.6078e+01 -6.1711e-02 -4.1217e-01 -5.0090e-02 -9.9055e-01  5.2407e+00  1.7459e-02  8.8344e-02  2.1144e-03  7.5235e-02 -5.1841e+00 -1.5597e-02 -6.8714e-02 -5.0543e-03 -9.5409e-02
-4.7750e+00     4.3045e+01  1.1460e-01  7.7596e-01  2.0076e-02  2.1673e+00 -5.0344e+01 -1.2059e-01 -1.0925e+00 -7.9823e-02 -1.8495e+00  5.5603e+00  1.8307e-02  9.3995e-02  2.2759e-03  9.1261e-02 -5.5020e+00 -1.6355e-02 -7.4973e-02 -5.5947e-03 -1.0722e-01
-4.7667e+00     2.1661e+01  5.2737e-02  3.2747e-01  1.2913e-02  1.0172e+00 -2.5380e+01 -5.5705e-02 -4.4325e-01 -5.2264e-02 -1.1110e+00  5.8295e+00  1.9003e-02  9.8585e-02  2.4132e-03  1.0451e-01 -5.8170e+00 -1.7089e-02 -8.1362e-02 -6.1441e-03 -1.1954e-01
-4.7583e+00     2.3803e+01  5.9476e-02  3.6736e-01  1.6721e-02  1.0568e+00 -2.2896e+01 -4.7907e-02 -2.7751e-01 -5.3818e-02 -1.0988e+00  6.0186e+00  1.9470e-02  1.0148e-01  2.5364e-03  1.1314e-01 -6.0178e+00 -1.7520e-02 -8.4360e-02 -6.5854e-03 -1.2873e-01
-4.7500e+00     2.9400e+01  7.2178e-02  4.7621e-01  1.9362e-02  1.2609e+00 -2.4647e+01 -5.3223e-02 -3.4792e-01 -5.5595e-02 -1.0521e+00  6.2399e+00  2.0018e-02  1.0498e-01  2.6865e-03  1.2278e-01 -6.2156e+00 -1.7940e-02 -8.6961e-02 -7.0405e-03 -1.3768e-01
-4.7417e+00     2.7844e+01  6.5277e-02  4.3070e-01  1.7675e-02  1.2758e+00 -2.8289e+01 -6.2935e-02 -3.9541e-01 -6.6259e-02 -1.1127e+00  6.4780e+00  2.0589e-02  1.0876e-01  2.8406e-03  1.3333e-01 -6.4358e+00 -1.8423e-02 -9.0053e-02 -7.5474e-03 -1.4668e-01
-4.7333e+00     2.9455e+01  6.5397e-02  4.2309e-01  1.8465e-02  1.3676e+00 -3.5690e+01 -8.4988e-02 -5.7804e-01 -8.8498e-02 -1.3303e+00  6.7164e+00  2.1133e-02  1.1231e-01  2.9909e-03  1.4433e-01 -6.7019e+00 -1.9039e-02 -9.4103e-02 -8.1912e-03 -1.5684e-01
-4.7250e+00     3.1314e+01  7.7940e-02  3.8619e-01  2.0942e-02  1.5780e+00 -3.1185e+01 -7.2237e-02 -3.0084e-01 -6.3215e-02 -1.2552e+00  6.9691e+00  2.1729e-02  1.1567e-01  3.1548e-03  1.5658e-01 -6.9801e+00 -1.9693e-02 -9.7759e-02 -8.8223e-03 -1.6760e-01
-4.7167e+00     2.9712e+01  6.6474e-02  3.5325e-01  2.4075e-02  1.3707e+00 -2.4922e+01 -5.0246e-02 -2.4739e-01 -6.2208e-02 -1.0075e+00  7.2230e+00  2.2330e-02  1.1875e-01  3.3421e-03  1.6884e-01 -7.2135e+00 -2.0202e-02 -1.0004e-01 -9.3440e-03 -1.7701e-01
-4.7083e+00     2.9818e+01  6.0995e-02  3.9504e-01  2.5026e-02  1.0857e+00 -3.6195e+01 -6.6512e-02 -4.6369e-01 -1.0704e-01 -9.9699e-01  7.4706e+00  2.2860e-02  1.2186e-01  3.5464e-03  1.7906e-01 -7.4677e+00 -2.0688e-02 -1.0300e-01 -1.0048e-02 -1.8535e-01
-4.7000e+00     2.8996e+01  5.8400e-02  4.0152e-01  2.3418e-02  9.0022e-01 -3.4080e+01 -6.1423e-02 -4.4640e-01 -1.0821e-01 -8.4800e-01  7.7153e+00  2.3357e-02  1.2518e-01  3.7479e-03  1.8732e-01 -7.7600e+00 -2.1220e-02 -1.0678e-01 -1.0943e-02 -1.9302e-01
-4.6917e+00     3.0847e+01  5.4730e-02  4.1745e-01  2.5954e-02  8.4705e-01 -2.8790e+01 -5.4312e-02 -3.2242e-01 -6.4925e-02 -6.5464e-01  7.9642e+00  2.3827e-02  1.2858e-01  3.9532e-03  1.9459e-01 -8.0215e+00 -2.1702e-02 -1.0998e-01 -1.1664e-02 -1.9927e-01
-4.6833e+00     2.8410e+01  4.7894e-02  3.9538e-01  2.3618e-02  7.1172e-01 -3.9887e+01 -7.8080e-02 -5.1323e-01 -7.6451e-02 -7.2415e-01  8.2107e+00  2.4254e-02  1.3196e-01  4.1594e-03  2.0107e-01 -8.3072e+00 -2.2252e-02 -1.1346e-01 -1.2252e-02 -2.0501e-01
-4.6750e+00     4.0142e+01  7.2005e-02  5.9561e-01  4.5041e-02  7.1464e-01 -3.9431e+01 -7.1225e-02 -5.1776e-01 -7.4670e-02 -7.2265e-01  8.4959e+00  2.4753e-02  1.3609e-01  4.4450e-03  2.0701e-01 -8.6372e+00 -2.2873e-02 -1.1775e-01 -1.2880e-02 -2.1103e-01
-4.6667e+00     4.5028e+01  6.8440e-02  6.7114e-01  5.2991e-02  7.1007e-01 -2.4034e+01 -4.6548e-02 -3.1012e-01 -4.5473e-02 -5.4839e-01  8.8501e+00  2.5337e-02  1.4136e-01  4.8528e-03  2.1293e-01 -8.9012e+00 -2.3363e-02 -1.2119e-01 -1.3380e-02 -2.1632e-01
-4.6583e+00     3.8362e+01  5.8502e-02  6.2505e-01  3.5510e-02  5.7270e-01 -3.5598e+01 -7.3369e-02 -5.2072e-01 -5.5627e-02 -5.5518e-01  9.1970e+00  2.5865e-02  1.4675e-01  5.2210e-03  2.1827e-01 -9.1492e+00 -2.3862e-02 -1.2465e-01 -1.3801e-02 -2.2091e-01
-4.6500e+00     3.5341e+01  5.5733e-02  5.5996e-01  3.2204e-02  5.0231e-01 -3.5614e+01 -7.3430e-02 -6.5678e-01 -5.5689e-02 -5.0243e-01  9.5036e+00  2.6340e-02  1.5168e-01  5.5027e-03  2.2274e-01 -9.4454e+00 -2.4473e-02 -1.2954e-01 -1.4264e-02 -2.2531e-01
-4.6417e+00     3.6803e+01  6.7873e-02  6.9086e-01  3.5093e-02  5.0543e-01 -3.3823e+01 -7.0540e-02 -7.1184e-01 -5.9108e-02 -5.0591e-01  9.8037e+00  2.6855e-02  1.5688e-01  5.7826e-03  2.2693e-01 -9.7343e+00 -2.5072e-02 -1.3524e-01 -1.4741e-02 -2.2950e-01
-4.6333e+00     2.6872e+01  4.9830e-02  4.9599e-01  3.1112e-02  3.3542e-01 -2.3562e+01 -5.1960e-02 -5.2382e-01 -4.4803e-02 -3.7390e-01  1.0069e+01  2.7344e-02  1.6182e-01  6.0580e-03  2.3043e-01 -9.9730e+00 -2.5581e-02 -1.4038e-01 -1.5173e-02 -2.3316e-01
-4.6250e+00     1.7289e+01  3.2967e-02  3.1119e-01  1.7246e-02  2.4669e-01 -2.0123e+01 -4.9370e-02 -4.2082e-01 -3.8024e-02 -3.5522e-01  1.0252e+01  2.7689e-02  1.6517e-01  6.2591e-03  2.3285e-01 -1.0155e+01 -2.6003e-02 -1.4431e-01 -1.5518e-02 -2.3619e-01
-4.6167e+00     1.4125e+01  2.9540e-02  2.4910e-01  1.1439e-02  2.1956e-01 -2.1926e+01 -6.4308e-02 -3.5243e-01 -3.7756e-02 -3.3577e-01  1.0383e+01  2.7949e-02  1.6751e-01  6.3785e-03  2.3479e-01 -1.0330e+01 -2.6476e-02 -1.4752e-01 -1.5833e-02 -2.3907e-01
-4.6083e+00     2.4929e+01  4.8128e-02  4.0988e-01  2.4766e-02  4.0008e-01 -2.6536e+01 -7.8134e-02 -4.3171e-01 -4.5330e-02 -4.3939e-01  1.0545e+01  2.8272e-02  1.7025e-01  6.5291e-03  2.3737e-01 -1.0531e+01 -2.7068e-02 -1.5078e-01 -1.6179e-02 -2.4229e-01
-4.6000e+00     3.3827e+01  6.7151e-02  5.9856e-01  3.3928e-02  6.7348e-01 -2.8647e+01 -8.8632e-02 -4.4794e-01 -4.5196e-02 -6.2067e-01  1.0790e+01  2.8751e-02  1.7444e-01  6.7732e-03  2.4184e-01 -1.0761e+01 -2.7762e-02 -1.5444e-01 -1.6555e-02 -2.4670e-01
-4.5917e+00     3.7813e+01  7.8378e-02  6.9526e-01  3.4780e-02  8.8670e-01 -3.4082e+01 -1.1118e-01 -5.5319e-01 -4.6008e-02 -8.2161e-01  1.1088e+01  2.9357e-02  1.7982e-01  7.0590e-03  2.4833e-01 -1.1022e+01 -2.8593e-02 -1.5861e-01 -1.6935e-02 -2.5270e-01
-4.5833e+00     1.3988e+01  2.6346e-02  2.2811e-01  1.3425e-02  1.5332e-01 -2.1858e+01 -6.7104e-02 -3.8820e-01 -3.2188e-02 -2.2832e-01  1.1303e+01  2.9792e-02  1.8366e-01  7.2595e-03  2.5265e-01 -1.1254e+01 -2.9335e-02 -1.6252e-01 -1.7260e-02 -2.5707e-01
-4.5750e+00     1.3888e+01  2.6037e-02  2.2148e-01  1.1852e-02  1.3555e-01 -2.2229e+01 -6.5644e-02 -3.7713e-01 -3.0521e-02 -2.0401e-01  1.1419e+01  3.0010e-02  1.8553e-01  7.3647e-03  2.5385e-01 -1.1438e+01 -2.9887e-02 -1.6571e-01 -1.7521e-02 -2.5887e-01
